Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Autorizada (m³/d),Capacidade Processamento(m³/d),Volume Processado  (m³/d),FUE (%)
10/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"141787,000",129
09/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"445679,000",218
09/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"15012,000",94
09/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"142905,000",130
08/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"440390,000",216
08/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"11617,000",73
08/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"63111,000",57
07/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"346828,000",170
07/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"6172,000",39
07/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"71574,000",65
06/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"159050,000",145
05/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"169025,000",154
04/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"166974,000",152
03/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"176273,000",160
02/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"170631,000",155
01/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"171950,000",156
