Mês/Ano,Região,Produção de Biodiesel
03/2019,SUDESTE,"36275,181"
03/2019,SUL,"187573,572"
02/2019,NORDESTE,"37157,111"
02/2019,NORTE / CENTRO OESTE,"175358,138"
02/2019,SUDESTE,"38012,245"
02/2019,SUL,"164721,301"
01/2019,NORDESTE,"39800,953"
01/2019,NORTE / CENTRO OESTE,"182867,299"
01/2019,SUDESTE,"42202,267"
01/2019,SUL,"181637,252"
12/2018,NORDESTE,"40383,766"
12/2018,NORTE / CENTRO OESTE,"203229,094"
12/2018,SUDESTE,"42301,748"
12/2018,SUL,"187756,267"
11/2018,NORDESTE,"40036,027"
11/2018,NORTE / CENTRO OESTE,"208402,236"
11/2018,SUDESTE,"35724,845"
11/2018,SUL,"194941,454"
10/2018,NORDESTE,"33142,928"
10/2018,NORTE / CENTRO OESTE,"223341,773"
10/2018,SUDESTE,"40284,889"
10/2018,SUL,"203546,668"
09/2018,NORDESTE,"33110,742"
09/2018,NORTE / CENTRO OESTE,"209097,095"
09/2018,SUDESTE,"44376,098"
09/2018,SUL,"193348,585"
08/2018,NORDESTE,"26974,675"
08/2018,NORTE / CENTRO OESTE,"203195,840"
08/2018,SUDESTE,"45549,983"
08/2018,SUL,"210122,226"
07/2018,NORDESTE,"30669,000"
07/2018,NORTE / CENTRO OESTE,"203932,099"
07/2018,SUDESTE,"40568,492"
07/2018,SUL,"213910,147"
06/2018,NORDESTE,"29481,485"
06/2018,NORTE / CENTRO OESTE,"198119,953"
06/2018,SUDESTE,"39827,806"
06/2018,SUL,"199468,319"
05/2018,NORDESTE,"27872,943"
05/2018,NORTE / CENTRO OESTE,"164500,691"
05/2018,SUDESTE,"31923,577"
05/2018,SUL,"158200,284"
04/2018,NORDESTE,"27463,061"
04/2018,NORTE / CENTRO OESTE,"200673,484"
04/2018,SUDESTE,"40403,220"
04/2018,SUL,"180165,942"
03/2018,NORDESTE,"31421,612"
03/2018,NORTE / CENTRO OESTE,"181937,040"
03/2018,SUDESTE,"41650,582"
03/2018,SUL,"182230,688"
02/2018,NORDESTE,"26870,800"
02/2018,NORTE / CENTRO OESTE,"138339,960"
02/2018,SUDESTE,"28219,681"
02/2018,SUL,"128282,588"
01/2018,NORDESTE,"28910,603"
01/2018,NORTE / CENTRO OESTE,"119782,416"
01/2018,SUDESTE,"26870,722"
01/2018,SUL,"147060,011"
12/2017,NORDESTE,"27638,501"
12/2017,NORTE / CENTRO OESTE,"147998,042"
12/2017,SUDESTE,"31125,895"
12/2017,SUL,"157852,449"
11/2017,NORDESTE,"27100,891"
11/2017,NORTE / CENTRO OESTE,"148908,119"
11/2017,SUDESTE,"30354,977"
11/2017,SUL,"163825,562"
10/2017,NORDESTE,"30108,586"
10/2017,NORTE / CENTRO OESTE,"155520,189"
10/2017,SUDESTE,"37171,885"
10/2017,SUL,"168543,389"
09/2017,NORDESTE,"28158,747"
09/2017,NORTE / CENTRO OESTE,"155019,102"
09/2017,SUDESTE,"32576,509"
09/2017,SUL,"164951,708"
08/2017,NORDESTE,"29788,147"
08/2017,NORTE / CENTRO OESTE,"160532,518"
08/2017,SUDESTE,"35786,872"
08/2017,SUL,"155909,863"
07/2017,NORDESTE,"25575,951"
07/2017,NORTE / CENTRO OESTE,"160173,883"
07/2017,SUDESTE,"28168,020"
07/2017,SUL,"156119,884"
06/2017,NORDESTE,"23956,518"
06/2017,NORTE / CENTRO OESTE,"138091,224"
06/2017,SUDESTE,"29617,781"
06/2017,SUL,"151561,286"
05/2017,NORDESTE,"20839,329"
05/2017,NORTE / CENTRO OESTE,"151915,880"
05/2017,SUDESTE,"21237,579"
05/2017,SUL,"158699,290"
04/2017,NORDESTE,"20488,738"
04/2017,NORTE / CENTRO OESTE,"141165,946"
04/2017,SUDESTE,"22038,103"
04/2017,SUL,"145767,668"
03/2017,NORDESTE,"19549,245"
03/2017,NORTE / CENTRO OESTE,"141457,070"
03/2017,SUDESTE,"16767,826"
03/2017,SUL,"139391,759"
02/2017,NORDESTE,"17632,522"
02/2017,NORTE / CENTRO OESTE,"103857,583"
02/2017,SUDESTE,"23695,922"
02/2017,SUL,"102267,016"
01/2017,NORDESTE,"20107,611"
01/2017,NORTE / CENTRO OESTE,"103417,360"
01/2017,SUDESTE,"24078,304"
01/2017,SUL,"97284,289"
